3K_DNA_IRIS_UNIQUE_ID;TYPE
IRIS-313-11194;ind3
IRIS-313-11195;trop2
IRIS-313-11196;ind3
IRIS-313-11197;indx
IRIS-313-11198;temp
IRIS-313-11199;indx
IRIS-313-11200;ind1B
IRIS-313-11201;temp
IRIS-313-11202;temp
IRIS-313-11203;ind2
IRIS-313-11204;indx
IRIS-313-11205;ind2
IRIS-313-11206;indx
IRIS-313-11207;ind2
IRIS-313-11208;indx
IRIS-313-11209;ind2
IRIS-313-11210;aus
IRIS-313-11211;ind2
IRIS-313-11212;ind2
IRIS-313-11213;aus
IRIS-313-11214;aus
IRIS-313-11216;aus
IRIS-313-11217;aro
IRIS-313-11218;aro
IRIS-313-11219;ind2
IRIS-313-11220;ind2
IRIS-313-11221;ind2
IRIS-313-11222;ind2
IRIS-313-11223;aro
IRIS-313-11224;ind2
IRIS-313-11225;indx
IRIS-313-11226;ind2
IRIS-313-11227;ind2
IRIS-313-11228;ind2
IRIS-313-11229;ind2
IRIS-313-11230;ind2
IRIS-313-11231;ind2
IRIS-313-11232;aus
IRIS-313-11233;ind1B
IRIS-313-11234;indx
IRIS-313-11235;indx
IRIS-313-11236;ind3
IRIS-313-11237;ind1B
IRIS-313-11238;trop1
IRIS-313-11239;indx
IRIS-313-11240;indx
IRIS-313-11241;ind2
IRIS-313-11242;ind2
IRIS-313-11243;admix
IRIS-313-11244;indx
IRIS-313-11245;indx
IRIS-313-11246;temp
IRIS-313-11247;indx
IRIS-313-11248;trop1
IRIS-313-11249;indx
IRIS-313-11250;ind1B
IRIS-313-11251;ind1B
IRIS-313-11252;indx
IRIS-313-11253;indx
IRIS-313-11254;ind3
IRIS-313-11255;indx
IRIS-313-11256;indx
IRIS-313-11257;indx
IRIS-313-11258;aro
IRIS-313-11259;aro
IRIS-313-11260;indx
IRIS-313-11261;indx
IRIS-313-11262;indx
IRIS-313-11263;indx
IRIS-313-11264;indx
IRIS-313-11265;aus
IRIS-313-11266;indx
IRIS-313-11267;ind2
IRIS-313-11268;aro
IRIS-313-11269;indx
IRIS-313-11270;aro
IRIS-313-11271;ind2
IRIS-313-11272;aus
IRIS-313-11273;indx
IRIS-313-11274;aus
IRIS-313-11275;indx
IRIS-313-11276;indx
IRIS-313-11277;aus
IRIS-313-11278;indx
IRIS-313-11279;indx
IRIS-313-11280;indx
IRIS-313-11281;ind1A
IRIS-313-11282;ind2
IRIS-313-11283;indx
IRIS-313-11284;indx
IRIS-313-11285;ind2
IRIS-313-11286;indx
IRIS-313-11287;indx
IRIS-313-11288;indx
IRIS-313-11289;aro
IRIS-313-11290;admix
IRIS-313-11291;aus
IRIS-313-11292;indx
IRIS-313-11293;aro
IRIS-313-11294;ind2
IRIS-313-11295;admix
IRIS-313-11296;indx
IRIS-313-11297;admix
IRIS-313-11298;aus
IRIS-313-11299;indx
IRIS-313-11300;ind2
IRIS-313-11301;ind2
IRIS-313-11302;indx
IRIS-313-11303;indx
IRIS-313-11304;indx
IRIS-313-11305;indx
IRIS-313-11306;indx
IRIS-313-11307;indx
IRIS-313-11308;ind2
IRIS-313-11309;indx
IRIS-313-11310;ind2
IRIS-313-11311;trop1
IRIS-313-11312;ind3
IRIS-313-11313;trop1
IRIS-313-11314;trop1
IRIS-313-11315;ind3
IRIS-313-11316;ind3
IRIS-313-11317;ind3
IRIS-313-11318;ind3
IRIS-313-11319;ind3
IRIS-313-11320;ind3
IRIS-313-11321;ind2
IRIS-313-11322;aus
IRIS-313-11323;aus
IRIS-313-11324;aus
IRIS-313-11325;indx
IRIS-313-11326;indx
IRIS-313-11327;ind3
IRIS-313-11328;trop1
IRIS-313-11329;trop1
IRIS-313-11330;ind3
IRIS-313-11331;ind3
IRIS-313-11334;ind3
IRIS-313-11335;ind2
IRIS-313-11336;temp
IRIS-313-11337;trop1
IRIS-313-11338;indx
IRIS-313-11339;ind2
IRIS-313-11340;trop1
IRIS-313-11341;ind3
IRIS-313-11342;indx
IRIS-313-11343;ind3
IRIS-313-11344;ind3
IRIS-313-11345;indx
IRIS-313-11346;ind1B
IRIS-313-11347;indx
IRIS-313-11348;aus
IRIS-313-11349;ind2
IRIS-313-11350;aro
IRIS-313-11351;ind2
IRIS-313-11352;aro
IRIS-313-11353;aus
IRIS-313-11354;ind2
IRIS-313-11355;indx
IRIS-313-11356;aro
IRIS-313-11357;ind1B
IRIS-313-11358;ind2
IRIS-313-11359;ind2
IRIS-313-11360;aro
IRIS-313-11361;ind2
IRIS-313-11362;aro
IRIS-313-11363;ind2
IRIS-313-11364;indx
IRIS-313-11365;indx
IRIS-313-11367;ind2
IRIS-313-11368;ind2
IRIS-313-11369;ind2
IRIS-313-11370;ind2
IRIS-313-11371;aus
IRIS-313-11372;ind2
IRIS-313-11373;aro
IRIS-313-11374;aus
IRIS-313-11375;aro
IRIS-313-11376;trop1
IRIS-313-11377;indx
IRIS-313-11379;trop1
IRIS-313-11380;trop1
